prediction_raw,actual_return,signal,overflow,pnl,cumulative_pnl
1.4157431926582918e-06,-8.999999999998592e-07,1.0,False,-8.999999999998592e-07,-8.999999999998592e-07
1.8974827058996338e-06,0.0,0.0,True,0.0,-8.999999999998592e-07
1.8974827058996338e-06,0.0,0.0,True,0.0,-8.999999999998592e-07
1.7110757467550394e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-9.999999999992654e-07
1.613210645495529e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-1.0999999999986715e-06
1.4321891623374047e-06,0.0,1.0,False,0.0,-1.0999999999986715e-06
1.1916379016084067e-06,0.0,1.0,False,0.0,-1.0999999999986715e-06
1.3284753183398998e-06,-5.000000000005e-07,1.0,False,-5.000000000005e-07,-1.5999999999991715e-06
9.880900726574129e-07,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-1.7999999999997185e-06
1.2178124730695302e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-1.8999999999991246e-06
1.2745626501312582e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-1.9999999999985307e-06
3.1270505727890933e-07,0.0,1.0,False,0.0,-1.9999999999985307e-06
-2.290275002848308e-07,0.0,-1.0,False,-0.0,-1.9999999999985307e-06
-1.9028681818861038e-07,9.999999999940612e-08,-1.0,False,-9.999999999940612e-08,-2.099999999997937e-06
-5.375052484560808e-07,0.0,-1.0,False,-0.0,-2.099999999997937e-06
-4.883989727945039e-07,0.0,-1.0,False,-0.0,-2.099999999997937e-06
-3.4304902950375163e-07,0.0,-1.0,False,-0.0,-2.099999999997937e-06
-3.3575257816724375e-07,0.0,-1.0,False,-0.0,-2.099999999997937e-06
-9.595412590947274e-08,0.0,-1.0,False,-0.0,-2.099999999997937e-06
-5.6750177061728e-07,0.0,-1.0,False,-0.0,-2.099999999997937e-06
-6.272631815639159e-07,-5.000000000005e-07,-1.0,False,5.000000000005e-07,-1.5999999999974368e-06
-5.686020291521501e-07,0.0,-1.0,False,-0.0,-1.5999999999974368e-06
1.453499432907523e-07,1.4000000000003593e-06,1.0,False,1.4000000000003593e-06,-1.9999999999707752e-07
3.327992526262763e-07,9.999999999940612e-08,1.0,False,9.999999999940612e-08,-9.99999999976714e-08
-4.3315441267522994e-08,0.0,-1.0,False,-0.0,-9.99999999976714e-08
4.918734734309363e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-1.9999999999707752e-07
5.910704666010792e-07,9.999999999940612e-08,1.0,False,9.999999999940612e-08,-9.99999999976714e-08
1.9352968544928055e-07,2.0000000000054696e-07,1.0,False,2.0000000000054696e-07,1.0000000000287557e-07
1.393101030177541e-06,2.0000000000054696e-07,1.0,False,2.0000000000054696e-07,3.0000000000342253e-07
1.229509958545519e-06,5.999999999999062e-07,1.0,False,5.999999999999062e-07,9.000000000033287e-07
1.8974827058996338e-06,0.0,0.0,True,0.0,9.000000000033287e-07
1.8974827058996338e-06,0.0,0.0,True,0.0,9.000000000033287e-07
-1.8171638328541063e-07,-2.0000000000054696e-07,-1.0,False,2.0000000000054696e-07,1.1000000000038757e-06
-2.0146312856913438e-07,2.0000000000054696e-07,-1.0,False,-2.0000000000054696e-07,9.000000000033287e-07
2.263058081196255e-07,0.0,1.0,False,0.0,9.000000000033287e-07
-1.3318919106323916e-07,0.0,-1.0,False,-0.0,9.000000000033287e-07
5.901439330980306e-07,0.0,1.0,False,0.0,9.000000000033287e-07
1.066671695384724e-06,0.0,1.0,False,0.0,9.000000000033287e-07
1.4050880573732327e-06,0.0,1.0,False,0.0,9.000000000033287e-07
1.6363739830717444e-06,0.0,1.0,False,0.0,9.000000000033287e-07
1.605682560783259e-06,0.0,1.0,False,0.0,9.000000000033287e-07
1.8069719643205717e-06,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,8.000000000021878e-07
1.5416938407289636e-06,2.0000000000054696e-07,1.0,False,2.0000000000054696e-07,1.0000000000027348e-06
1.8589736571791754e-06,0.0,1.0,False,0.0,1.0000000000027348e-06
1.8546884397275756e-06,0.0,1.0,False,0.0,1.0000000000027348e-06
1.8784308607431965e-06,0.0,1.0,False,0.0,1.0000000000027348e-06
1.8761724353295155e-06,0.0,1.0,False,0.0,1.0000000000027348e-06
1.8974827058996338e-06,0.0,0.0,True,0.0,1.0000000000027348e-06
1.5821138647994595e-06,0.0,1.0,False,0.0,1.0000000000027348e-06
7.457436532662582e-07,2.999999999999531e-07,1.0,False,2.999999999999531e-07,1.300000000002688e-06
6.683201974177579e-07,0.0,1.0,False,0.0,1.300000000002688e-06
1.4830326883171978e-07,0.0,1.0,False,0.0,1.300000000002688e-06
1.8426435041879436e-07,0.0,1.0,False,0.0,1.300000000002688e-06
4.61529501206094e-08,0.0,1.0,False,0.0,1.300000000002688e-06
-2.2491600786505257e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-1.8050030806265933e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-6.701732644238551e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-8.318533607058394e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-1.1586301455622996e-06,0.0,-1.0,False,-0.0,1.300000000002688e-06
4.2493142783567346e-07,0.0,1.0,False,0.0,1.300000000002688e-06
-7.299925837144317e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-5.074508179509412e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-7.63347789824182e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-9.085819164270533e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-8.257729845920828e-07,0.0,-1.0,False,-0.0,1.300000000002688e-06
-1.2336214509652974e-06,1.0000000000114084e-07,-1.0,False,-1.0000000000114084e-07,1.200000000001547e-06
-6.395397504793102e-07,0.0,-1.0,False,-0.0,1.200000000001547e-06
-6.940315021273571e-07,0.0,-1.0,False,-0.0,1.200000000001547e-06
-1.6064932775984265e-06,0.0,-1.0,False,-0.0,1.200000000001547e-06
-1.4829747799732573e-06,9.999999999940612e-08,-1.0,False,-9.999999999940612e-08,1.100000000002141e-06
-1.2684822740175017e-06,0.0,-1.0,False,-0.0,1.100000000002141e-06
-1.2046093706510873e-06,5.000000000005e-07,-1.0,False,-5.000000000005e-07,6.000000000016409e-07
-1.1323976657572357e-06,5.999999999999062e-07,-1.0,False,-5.999999999999062e-07,1.734723475976807e-18
-5.943712422056899e-07,0.0,-1.0,False,-0.0,1.734723475976807e-18
-1.4859281055142248e-07,-1.0000000000114084e-07,-1.0,False,1.0000000000114084e-07,1.0000000000287557e-07
2.541018132110841e-07,0.0,1.0,False,0.0,1.0000000000287557e-07
4.5961852585605616e-07,0.0,1.0,False,0.0,1.0000000000287557e-07
3.709029429391508e-07,0.0,1.0,False,0.0,1.0000000000287557e-07
4.933790903733903e-07,0.0,1.0,False,0.0,1.0000000000287557e-07
3.8636447077127463e-07,-4.999999999987653e-07,1.0,False,-4.999999999987653e-07,-3.9999999999588975e-07
4.4548888993456474e-07,-5.000000000005e-07,1.0,False,-5.000000000005e-07,-8.999999999963898e-07
4.577075505060184e-07,-4.000000000010939e-07,1.0,False,-4.000000000010939e-07,-1.2999999999974837e-06
9.659111769281866e-08,0.0,1.0,False,0.0,-1.2999999999974837e-06
1.7719953245804863e-08,-2.999999999999531e-07,1.0,False,-2.999999999999531e-07,-1.5999999999974368e-06
-2.5329109639591656e-07,0.0,-1.0,False,-0.0,-1.5999999999974368e-06
-2.306489339151659e-07,-9.999999999940612e-08,-1.0,False,9.999999999940612e-08,-1.4999999999980307e-06
2.3302317601672799e-07,-8.999999999998592e-07,1.0,False,-8.999999999998592e-07,-2.39999999999789e-06
7.039917372851298e-07,0.0,1.0,False,0.0,-2.39999999999789e-06
-6.879511260136005e-08,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-4.908890315839471e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-3.138632241577201e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-6.161447795273324e-08,0.0,-1.0,False,-0.0,-2.39999999999789e-06
5.489711005563075e-08,0.0,1.0,False,0.0,-2.39999999999789e-06
1.47897910424136e-07,0.0,1.0,False,0.0,-2.39999999999789e-06
9.745974285192674e-08,0.0,1.0,False,0.0,-2.39999999999789e-06
-3.991622147821337e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-4.730532616502612e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-4.499478324179862e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-2.524224712368085e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-3.8294787847878284e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-3.3702656173393564e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-3.160637412274606e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-2.77844234226705e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-1.8605950908095105e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-1.8814420946281045e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
-1.667181222048111e-07,0.0,-1.0,False,-0.0,-2.39999999999789e-06
1.505616942454008e-07,0.0,1.0,False,0.0,-2.39999999999789e-06
2.8780446938447766e-07,0.0,1.0,False,0.0,-2.39999999999789e-06
3.4125387084159497e-07,-3.999999999993592e-07,1.0,False,-3.999999999993592e-07,-2.799999999997249e-06
4.7021575279717477e-07,-5.999999999999062e-07,1.0,False,-5.999999999999062e-07,-3.3999999999971553e-06
2.9822797129377463e-07,-2.999999999999531e-07,1.0,False,-2.999999999999531e-07,-3.6999999999971084e-06
3.000810382998719e-07,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,-3.7999999999982492e-06
1.870439509279402e-07,-4.999999999987653e-07,1.0,False,-4.999999999987653e-07,-4.2999999999970145e-06
3.1884334173660644e-07,0.0,1.0,False,0.0,-4.2999999999970145e-06
5.10230418460087e-07,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,-4.399999999998155e-06
1.476083687044333e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-4.4999999999975615e-06
4.5388559980594287e-07,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-4.6999999999981085e-06
6.862717840393249e-07,0.0,1.0,False,0.0,-4.6999999999981085e-06
1.1587459622501806e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-4.799999999997515e-06
1.216596397846779e-06,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,-4.8999999999986554e-06
1.3574294903101692e-06,0.0,1.0,False,0.0,-4.8999999999986554e-06
1.4923559316916244e-06,0.0,1.0,False,0.0,-4.8999999999986554e-06
1.6672970387359922e-06,0.0,1.0,False,0.0,-4.8999999999986554e-06
1.7854300603746912e-06,0.0,1.0,False,0.0,-4.8999999999986554e-06
1.752306487640703e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-4.9999999999980616e-06
1.8091724813903121e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-5.099999999997468e-06
1.6986833611517642e-06,0.0,1.0,False,0.0,-5.099999999997468e-06
1.4553524999136204e-06,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,-5.1999999999986085e-06
1.381056094637909e-06,0.0,1.0,False,0.0,-5.1999999999986085e-06
1.1356984413618463e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-5.299999999998015e-06
1.2004978782313091e-06,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-5.499999999998562e-06
7.086244048003729e-07,0.0,1.0,False,0.0,-5.499999999998562e-06
6.863296923832655e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-5.599999999997968e-06
5.164266112617247e-07,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-5.799999999998515e-06
3.271242349201035e-07,0.0,1.0,False,0.0,-5.799999999998515e-06
1.293672403631636e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-5.899999999997921e-06
9.502759240642411e-08,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-6.099999999998468e-06
-2.2775351671813897e-07,0.0,-1.0,False,-0.0,-6.099999999998468e-06
-8.778325857946272e-07,0.0,-1.0,False,-0.0,-6.099999999998468e-06
-9.003010232435562e-07,-4.999999999987653e-07,-1.0,False,4.999999999987653e-07,-5.5999999999997024e-06
-8.366018449089635e-07,0.0,-1.0,False,-0.0,-5.5999999999997024e-06
-6.301006904170023e-07,-1.0000000000114084e-07,-1.0,False,1.0000000000114084e-07,-5.499999999998562e-06
-8.831022450932161e-07,0.0,-1.0,False,-0.0,-5.499999999998562e-06
-8.271048765027152e-07,0.0,-1.0,False,-0.0,-5.499999999998562e-06
-8.207928670131965e-07,-9.999999999940612e-08,-1.0,False,9.999999999940612e-08,-5.3999999999991555e-06
-5.364628982651511e-07,-9.999999999940612e-08,-1.0,False,9.999999999940612e-08,-5.299999999999749e-06
5.5476193495036136e-08,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-5.500000000000296e-06
5.664015120824097e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-5.5999999999997024e-06
5.864957074297766e-07,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-5.800000000000249e-06
7.087981298321945e-07,0.0,1.0,False,0.0,-5.800000000000249e-06
5.945449672375115e-07,0.0,1.0,False,0.0,-5.800000000000249e-06
4.776280208215637e-07,-2.999999999999531e-07,1.0,False,-2.999999999999531e-07,-6.1000000000002025e-06
1.215959406063433e-06,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-6.199999999999609e-06
1.2816853764359444e-06,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-6.4000000000001556e-06
9.693277692206784e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
9.078870162997668e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
7.104774718064702e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
6.566806202857096e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
4.790757294200772e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
5.211171871209083e-07,9.999999999940612e-08,1.0,False,9.999999999940612e-08,-6.3000000000007494e-06
3.405589707143085e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-6.4000000000001556e-06
3.442071963825624e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
3.258502513534116e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
7.041654623169514e-08,0.0,1.0,False,0.0,-6.4000000000001556e-06
-3.306566439004763e-08,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.1882792176598554e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-2.860672190662615e-07,9.999999999940612e-08,-1.0,False,-9.999999999940612e-08,-6.499999999999562e-06
-3.5787356555252957e-07,-9.999999999940612e-08,-1.0,False,9.999999999940612e-08,-6.4000000000001556e-06
-4.7658567063063405e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-3.19654058551774e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-5.882329577479928e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-3.970775144002743e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-4.712581029881045e-07,-2.999999999999531e-07,-1.0,False,2.999999999999531e-07,-6.1000000000002025e-06
-6.188085633485972e-07,0.0,-1.0,False,-0.0,-6.1000000000002025e-06
-2.967802626952612e-07,0.0,-1.0,False,-0.0,-6.1000000000002025e-06
-9.450641731095927e-08,-2.0000000000054696e-07,-1.0,False,2.0000000000054696e-07,-5.8999999999996555e-06
2.451260199003006e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-5.999999999999062e-06
1.1703276310382885e-07,-5.999999999999062e-07,1.0,False,-5.999999999999062e-07,-6.599999999998968e-06
5.115044020267789e-07,0.0,1.0,False,0.0,-6.599999999998968e-06
2.76338617284251e-07,0.0,1.0,False,0.0,-6.599999999998968e-06
6.75211290346682e-08,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,-6.700000000000109e-06
1.0272940215051576e-07,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-6.799999999999515e-06
1.3365245781476348e-07,0.0,1.0,False,0.0,-6.799999999999515e-06
1.8264291678845926e-07,-2.999999999999531e-07,1.0,False,-2.999999999999531e-07,-7.099999999999468e-06
8.680460756686761e-08,-2.0000000000054696e-07,1.0,False,-2.0000000000054696e-07,-7.300000000000015e-06
2.290275002848308e-07,0.0,1.0,False,0.0,-7.300000000000015e-06
8.298265686679205e-08,-9.999999999940612e-08,1.0,False,-9.999999999940612e-08,-7.399999999999421e-06
-2.1889354009523652e-07,-5.000000000005e-07,-1.0,False,5.000000000005e-07,-6.899999999998921e-06
-2.2086242378921486e-07,-1.9999999999881224e-07,-1.0,False,1.9999999999881224e-07,-6.700000000000109e-06
-4.843453887186662e-07,-1.0000000000114084e-07,-1.0,False,1.0000000000114084e-07,-6.599999999998968e-06
-5.421958243152645e-07,-1.9999999999881224e-07,-1.0,False,1.9999999999881224e-07,-6.4000000000001556e-06
-6.560436285023637e-07,-2.999999999999531e-07,-1.0,False,2.999999999999531e-07,-6.1000000000002025e-06
-7.572674137104255e-07,0.0,-1.0,False,-0.0,-6.1000000000002025e-06
-9.407789556579928e-07,-1.0000000000114084e-07,-1.0,False,1.0000000000114084e-07,-5.999999999999062e-06
-1.1707329894458722e-06,0.0,-1.0,False,-0.0,-5.999999999999062e-06
-9.711808362267756e-07,-9.999999999940612e-08,-1.0,False,9.999999999940612e-08,-5.8999999999996555e-06
-9.73033903232873e-07,0.0,-1.0,False,-0.0,-5.8999999999996555e-06
-8.426243126787796e-07,-9.999999999940612e-08,-1.0,False,9.999999999940612e-08,-5.800000000000249e-06
-9.802145378814996e-07,0.0,-1.0,False,-0.0,-5.800000000000249e-06
-6.481101853825099e-07,0.0,-1.0,False,-0.0,-5.800000000000249e-06
-5.896806663465063e-07,0.0,-1.0,False,-0.0,-5.800000000000249e-06
-5.638535449490259e-07,9.999999999940612e-08,-1.0,False,-9.999999999940612e-08,-5.8999999999996555e-06
-4.279426617205815e-07,0.0,-1.0,False,-0.0,-5.8999999999996555e-06
-5.143419108798653e-07,0.0,-1.0,False,-0.0,-5.8999999999996555e-06
-4.2122529382347897e-07,0.0,-1.0,False,-0.0,-5.8999999999996555e-06
4.0651657446258215e-08,0.0,1.0,False,0.0,-5.8999999999996555e-06
-5.6171093622322604e-08,0.0,-1.0,False,-0.0,-5.8999999999996555e-06
1.5449946163335742e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
1.0776742807334264e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
2.746592753099754e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
3.481449637705191e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
5.597420525292477e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
7.195111734611941e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
8.608654410200493e-07,0.0,1.0,False,0.0,-5.8999999999996555e-06
1.1668531304018562e-06,0.0,1.0,False,0.0,-5.8999999999996555e-06
1.2424814275881998e-06,0.0,1.0,False,0.0,-5.8999999999996555e-06
1.3318919106323916e-06,0.0,1.0,False,0.0,-5.8999999999996555e-06
1.3738754599892823e-06,0.0,1.0,False,0.0,-5.8999999999996555e-06
1.4306835453949508e-06,5.999999999999062e-07,1.0,False,5.999999999999062e-07,-5.299999999999749e-06
1.70574817911251e-06,0.0,1.0,False,0.0,-5.299999999999749e-06
1.7063851708958558e-06,0.0,1.0,False,0.0,-5.299999999999749e-06
1.8974827058996338e-06,0.0,0.0,True,0.0,-5.299999999999749e-06
1.8205225168026577e-06,0.0,1.0,False,0.0,-5.299999999999749e-06
1.7051690956731045e-06,0.0,1.0,False,0.0,-5.299999999999749e-06
1.591089658110243e-06,0.0,1.0,False,0.0,-5.299999999999749e-06
1.2801797594934905e-06,-6.999999999993123e-07,1.0,False,-6.999999999993123e-07,-5.999999999999062e-06
1.1747286651777694e-06,0.0,1.0,False,0.0,-5.999999999999062e-06
8.61270799427633e-07,-1.0000000000114084e-07,1.0,False,-1.0000000000114084e-07,-6.1000000000002025e-06
3.498822140887352e-07,-2.999999999999531e-07,1.0,False,-2.999999999999531e-07,-6.4000000000001556e-06
1.7864724105656208e-07,0.0,1.0,False,0.0,-6.4000000000001556e-06
5.1654242794960576e-08,0.0,1.0,False,0.0,-6.4000000000001556e-06
-5.015441668690063e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-6.827393750589521e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-7.159208561368808e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-7.295872253068479e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-8.475465219137254e-07,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.0931937169094909e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.111608570282582e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.0263674880021092e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.0976526593929123e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.390610971388098e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.6307568737095121e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.7478475451572815e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.376539243810547e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.494672265449246e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.6154111625652694e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.7225995071992067e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.6396747586763552e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.5487007503457687e-06,0.0,-1.0,False,-0.0,-6.4000000000001556e-06
-1.3420258708219858e-06,-2.0000000000054696e-07,-1.0,False,2.0000000000054696e-07,-6.199999999999609e-06
-1.2172912979740653e-06,-1.9999999999881224e-07,-1.0,False,1.9999999999881224e-07,-6.000000000000796e-06
